================================================================================
PREPROC0 LOG: Note-0 / Negative-Octave Rest Marker Filtering
Dataset: /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3
Total files: 3000
Date: 2026-02-17 23:58:32
================================================================================

Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acem--ilahi--duyek--aldanma_dunya--zekai_dede.mid. Details: [{'time': 32.65775115833335, 'time_ticks': 3266, 'channel': 0, 'velocity': 41, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--semai--ey_cesm-i--nikogos_aga.mid. Details: [{'time': 3.553682343749998, 'time_ticks': 355, 'channel': 0, 'velocity': 29, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--semai--sorma_dostum--nuri_halil_poyraz.mid. Details: [{'time': 16.666660000000036, 'time_ticks': 1667, 'channel': 0, 'velocity': 74, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--semai--yagmur_ol--amir_ates.mid. Details: [{'time': 6.115329827083335, 'time_ticks': 612, 'channel': 0, 'velocity': 41, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--yuruksemai--gel_ey_denizin--aleko_bacanos.mid. Details: [{'time': 35.41665250000003, 'time_ticks': 3542, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 4 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sazsemaisi--aksaksemai----misirli_udi_ibrahim_efendi.mid. Details: [{'time': 33.03788209166672, 'time_ticks': 3304, 'channel': 0, 'velocity': 96, 'pitchbend': -155, 'instrument': 0}, {'time': 148.67046941250084, 'time_ticks': 14867, 'channel': 0, 'velocity': 23, 'pitchbend': -155, 'instrument': 0}, {'time': 218.4886582125029, 'time_ticks': 21849, 'channel': 0, 'velocity': 95, 'pitchbend': -155, 'instrument': 0}, {'time': 218.4886582125029, 'time_ticks': 21849, 'channel': 0, 'velocity': 96, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sazsemaisi--aksaksemai----serafettin_seref_cakar.mid. Details: [{'time': 180.0, 'time_ticks': 18000, 'channel': 0, 'velocity': 41, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--yuruksemai--yuruksemai_ii----huseyin_fahreddin_dede.mid. Details: [{'time': 14.795150724999976, 'time_ticks': 1480, 'channel': 0, 'velocity': 89, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--zeybek--agiraksak--su_izmirin--tahsin_karakus.mid. Details: [{'time': 21.31090382916667, 'time_ticks': 2131, 'channel': 0, 'velocity': 119, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--aranagme--aksak--1--.mid. Details: [{'time': 18.7499925, 'time_ticks': 1875, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--aranagme--curcuna--1--.mid. Details: [{'time': 15.625, 'time_ticks': 1562, 'channel': 0, 'velocity': 65, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--aranagme--duyek--1--.mid. Details: [{'time': 7.111114666666673, 'time_ticks': 711, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--fantezi--semai--son_verelim--sekip_ayhan_ozisik.mid. Details: [{'time': 4.958328375000001, 'time_ticks': 496, 'channel': 0, 'velocity': 96, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--aksak--altin_tasta--nimet_hanim.mid. Details: [{'time': 6.23284002083333, 'time_ticks': 623, 'channel': 0, 'velocity': 77, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--aksak--beyhude_yere--ercument_berker.mid. Details: [{'time': 9.180063195833336, 'time_ticks': 918, 'channel': 0, 'velocity': 41, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--aksak--hatay--cevdet_cagla.mid. Details: [{'time': 34.374986250000056, 'time_ticks': 3437, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--aksak--kir_atima--nasibin_mehmet_yuru.mid. Details: [{'time': 6.75, 'time_ticks': 675, 'channel': 0, 'velocity': 113, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--aksak--ruhum_su--alaeddin_yavasca.mid. Details: [{'time': 29.738639337500054, 'time_ticks': 2974, 'channel': 0, 'velocity': 96, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--curcuna--bana_askin--huseyin_coskuner.mid. Details: [{'time': 11.71875, 'time_ticks': 1172, 'channel': 0, 'velocity': 65, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--duyek--artik_gelecek--arif_sami_toker.mid. Details: [{'time': 9.46955412291667, 'time_ticks': 947, 'channel': 0, 'velocity': 29, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--duyek--baharla_hazan--avni_anil.mid. Details: [{'time': 13.888883333333343, 'time_ticks': 1389, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--duyek--bir_baska--avni_anil.mid. Details: [{'time': 112.00000000000016, 'time_ticks': 11200, 'channel': 0, 'velocity': 23, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--duyek--bir_sevda--arif_sami_toker.mid. Details: [{'time': 4.0, 'time_ticks': 400, 'channel': 0, 'velocity': 113, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--duyek--ne_kadar--arif_sami_toker.mid. Details: [{'time': 17.7777866666667, 'time_ticks': 1778, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--duyek--unutmak_istesem--arif_sami_toker.mid. Details: [{'time': 11.104162224999996, 'time_ticks': 1110, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--kapali_curcuna--canan_bilirim--ekrem_guyer.mid. Details: [{'time': 17.77778666666669, 'time_ticks': 1778, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--kapali_curcuna--sana_eller--faruk_kayacikli.mid. Details: [{'time': 17.777786666666685, 'time_ticks': 1778, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--kapali_curcuna--yukselen_nagmenle--muzaffer_ilkar.mid. Details: [{'time': 14.399999999999988, 'time_ticks': 1440, 'channel': 0, 'velocity': 73, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--kapali_curcuna--zehretme_hayati--zeki_muren.mid. Details: [{'time': 17.777786666666675, 'time_ticks': 1778, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--semai--asikim_ben--necdet_tokatlioglu.mid. Details: [{'time': 4.342199449999999, 'time_ticks': 434, 'channel': 0, 'velocity': 14, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--semai--bak_yine--izzet_altinbas.mid. Details: [{'time': 9.08334150833333, 'time_ticks': 908, 'channel': 0, 'velocity': 11, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--semai--sen_kalbimin--teoman_alpay.mid. Details: [{'time': 7.6800000000000015, 'time_ticks': 768, 'channel': 0, 'velocity': 23, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--semai--yillar_sonra--yildirim_gurses.mid. Details: [{'time': 2.083335, 'time_ticks': 208, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--sarki--yuruksemai_ii--fikrimin_ince--muallim_ismail_hakki_bey.mid. Details: [{'time': 7.105771362499999, 'time_ticks': 711, 'channel': 0, 'velocity': 80, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--turku--duyek--ankaranin_yollari--.mid. Details: [{'time': 12.444450666666675, 'time_ticks': 1244, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemkurdi--turku--duyek--ham_meyveyi--.mid. Details: [{'time': 12.444450666666688, 'time_ticks': 1244, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/anberefsan--sazsemaisi--aksaksemai----huseyin_sadettin_arel.mid. Details: [{'time': 13.888883333333343, 'time_ticks': 1389, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/askefza--pesrev--ayindevrirevani----huseyin_sadettin_arel.mid. Details: [{'time': 90.22226733333338, 'time_ticks': 9022, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/bestenigar--sarki--aksak--perisan_halin--emin_ongan.mid. Details: [{'time': 14.87121360833333, 'time_ticks': 1487, 'channel': 0, 'velocity': 96, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/bestenigar--sarki--aksak--sana_gul--omer_sami_gupgup.mid. Details: [{'time': 10.649041656250006, 'time_ticks': 1065, 'channel': 0, 'velocity': 29, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/bestenigar--sarki--duyek--yakti_cihani--ismet_aga.mid. Details: [{'time': 44.447898887499996, 'time_ticks': 4445, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/bestenigar--sarki--kapali_curcuna--ben_seni--dede_efendi.mid. Details: [{'time': 10.230864552083348, 'time_ticks': 1023, 'channel': 0, 'velocity': 95, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/bestenigar--sarki--kapali_curcuna--cok_surmedi--enderunlu_hafiz_husnu_efendi.mid. Details: [{'time': 21.590275618750017, 'time_ticks': 2159, 'channel': 0, 'velocity': 89, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/bestenigar--sazsemaisi--aksaksemai----tanburi_cemil_bey.mid. Details: [{'time': 41.666650000000125, 'time_ticks': 4167, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--aranagme--curcuna--1--.mid. Details: [{'time': 11.71875, 'time_ticks': 1172, 'channel': 0, 'velocity': 65, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--ilahi--duyek--kapisi_yok--.mid. Details: [{'time': 28.44445866666666, 'time_ticks': 2844, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--karsilama--ciftesofyan--tekirdag_karsilamasi--anonim.mid. Details: [{'time': 5.543985916666662, 'time_ticks': 554, 'channel': 0, 'velocity': 89, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sarki--aksak--karsidan_yar--dede_efendi.mid. Details: [{'time': 43.027812200000035, 'time_ticks': 4303, 'channel': 0, 'velocity': 89, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sarki--aksak--ne_semtden--kemani_riza_efendi.mid. Details: [{'time': 14.833338525000004, 'time_ticks': 1483, 'channel': 0, 'velocity': 35, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sarki--ciftesofyan--cikalim_sayd_u--tanburi_mustafa_cavus.mid. Details: [{'time': 50.01045667499997, 'time_ticks': 5001, 'channel': 0, 'velocity': 89, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sarki--curcuna--akip_gitti--yener_topaloglu.mid. Details: [{'time': 55.006348885416585, 'time_ticks': 5501, 'channel': 0, 'velocity': 71, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sarki--curcuna--gel_nazli_gulum--alaeddin_yavasca.mid. Details: [{'time': 17.759620712500002, 'time_ticks': 1776, 'channel': 0, 'velocity': 29, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sarki--curcuna--kalbim_yine--selahaddin_pinar.mid. Details: [{'time': 20.833325000000023, 'time_ticks': 2083, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sarki--duyek--askn_fecri--sadettin_kaynak.mid. Details: [{'time': 82.59849310833347, 'time_ticks': 8260, 'channel': 0, 'velocity': 96, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sarki--duyek--emel-i_meyl-i--sevki_bey.mid. Details: [{'time': 14.222229333333347, 'time_ticks': 1422, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}]
Filtered 3 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sarki--duyek--ruhuma_sundugun--sadettin_kaynak.mid. Details: [{'time': 55.11113866666657, 'time_ticks': 5511, 'channel': 0, 'velocity': 23, 'pitchbend': -155, 'instrument': 0}, {'time': 75.91114906666647, 'time_ticks': 7591, 'channel': 0, 'velocity': 53, 'pitchbend': -155, 'instrument': 0}, {'time': 81.24448506666651, 'time_ticks': 8124, 'channel': 0, 'velocity': 23, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sarki--kapali_curcuna--bilmezsin_dusundugum--rakim_elkutlu.mid. Details: [{'time': 9.765624999999998, 'time_ticks': 977, 'channel': 0, 'velocity': 65, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sazsemaisi--aksaksemai----gevheri_osmanoglu.mid. Details: [{'time': 240.0, 'time_ticks': 24000, 'channel': 0, 'velocity': 41, 'pitchbend': -155, 'instrument': 0}]
Filtered 2 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sazsemaisi--aksaksemai----kanuni_omer_efendi.mid. Details: [{'time': 62.49997500000025, 'time_ticks': 6250, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}, {'time': 162.08326849999887, 'time_ticks': 16208, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 3 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sazsemaisi--aksaksemai----nayi_osman_dede.mid. Details: [{'time': 27.77776666666673, 'time_ticks': 2778, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}, {'time': 124.99994999999994, 'time_ticks': 12500, 'channel': 0, 'velocity': 35, 'pitchbend': -155, 'instrument': 0}, {'time': 184.3332595999997, 'time_ticks': 18433, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--sazsemaisi--aksaksemai--arap--misirli_udi_ibrahim_efendi.mid. Details: [{'time': 34.72741666458343, 'time_ticks': 3473, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyati--turku--kapali_curcuna--aksam_olur--urfa.mid. Details: [{'time': 6.25, 'time_ticks': 625, 'channel': 0, 'velocity': 113, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/beyatiaraban--ilahi--duyek--gonul_mazhardir--enderunlu_hafiz_husnu_efendi.mid. Details: [{'time': 11.111106666666675, 'time_ticks': 1111, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
